OSEBuildingID,DataYear,BuildingName,BuildingType,Address,ZipCode,Latitude,Longitude,Neighborhood,YearBuilt,NumberofFloors,NumberofBuildings,PropertyGFATotal,ENERGYSTARScore,SiteEUI(kBtu/sf),SourceEUI(kBtu/sf),EPAPropertyType,SteamUse(kBtu),ComplianceStatus,ComplianceIssue,Electricity(kBtu),NaturalGas(kBtu),GHGEmissionsIntensity,Neighborhood_BALLARD,Neighborhood_CENTRAL,Neighborhood_DELRIDGE NEIGHBORHOODS,Neighborhood_DOWNTOWN,Neighborhood_EAST,Neighborhood_GREATER DUWAMISH,Neighborhood_LAKE UNION,Neighborhood_MAGNOLIA / QUEEN ANNE,Neighborhood_NORTH,Neighborhood_NORTHEAST,Neighborhood_NORTHWEST,Neighborhood_SHARED: BALLARD &amp; LAKE UNION,Neighborhood_SHARED: BALLARD &amp; NORTHWEST,Neighborhood_SHARED: CENTRAL &amp; EAST,Neighborhood_SHARED: GREATER DUWAMISH &amp; DELRIDGE NEIGHBORHOODS,Neighborhood_SHARED: LAKE UNION &amp; NORTHWEST,Neighborhood_SHARED: NORTH &amp; NORTHWEST,Neighborhood_SOUTHEAST,Neighborhood_SOUTHWEST,Neighborhood_water,Neighborhood_nan,EPAPropertyType_College/University,EPAPropertyType_Distribution Center,EPAPropertyType_Hospital (General Medical & Surgical),EPAPropertyType_Hotel,EPAPropertyType_K-12 School,EPAPropertyType_Laboratory,EPAPropertyType_Manufacturing/Industrial Plant,EPAPropertyType_Medical Office,EPAPropertyType_Mixed Use Property,EPAPropertyType_Multifamily HR (10+),EPAPropertyType_Multifamily Housing,EPAPropertyType_Multifamily LR (1-4),EPAPropertyType_Multifamily MR (5-9),EPAPropertyType_Non-Refrigerated Warehouse,EPAPropertyType_Office,EPAPropertyType_Other,EPAPropertyType_Parking,EPAPropertyType_Refrigerated Warehouse,EPAPropertyType_Residence Hall/Dormitory,EPAPropertyType_Retail Store,EPAPropertyType_Self-Storage Facility,EPAPropertyType_Supermarket/Grocery Store,EPAPropertyType_Worship Facility,ComplianceStatus_Compliant,ComplianceStatus_Contact the Help Desk,ComplianceStatus_Not Compliant,ComplianceIssue_Account Requires Verification,ComplianceIssue_Default Data,ComplianceIssue_Missing EUI or Utility Data,ComplianceIssue_Missing EUI or Utility Data and Account Requires Verification,"ComplianceIssue_Missing EUI, Incomplete Electricity Data","ComplianceIssue_Missing EUI, Incomplete Natural Gas Data",ComplianceIssue_No Issue,ComplianceIssue_Portfolio Manager Not Connected to the City of Seattle,ComplianceIssue_Unknown - Contact the Help Desk,SiteEUI(kBtu/sf),SourceEUI(kBtu/sf),SteamUse(kBtu),NaturalGas(kBtu),GHGEmissionsIntensity,Electricity(kBtu)
15,2022,HOTEL MONACO,NonResidential,1101 4TH AVE,98101,47.60695,-122.33414,DOWNTOWN,1969,11,1,153163,,52.83051646693396,114.97467933940187,Hotel,0.0,Not Compliant,Missing EUI or Utility Data,3589417.256894049,0.0,1.1289082462253193,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.45221454920496e-16,0.0,-0.07126984701733581,-0.1744943454483149,0.0,-9.927478317994231e-17
16,2022,W SEATTLE HOTEL,NonResidential,1112 4TH AVE,98101,47.60738,-122.33362,DOWNTOWN,1998,25,1,333176,69.0,84.30000305,191.6000061,Hotel,5022234.0,Compliant,No Issue,16764190.0,2848830.0,2.29,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6431766025030277,0.7690755181915672,1.0897644214600732,0.15491440208105142,0.5647968046286755,1.4043713136201685
17,2022,EXECUTIVE HOTEL PACIFIC,NonResidential,400 SPRING ST,98104,47.60699,-122.33346,DOWNTOWN,1928,9,1,65009,,52.83051646693396,114.97467933940187,Other,0.0,Not Compliant,Portfolio Manager Not Connected to the City of Seattle,3589417.256894049,0.0,1.1289082462253193,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.45221454920496e-16,0.0,-0.07126984701733581,-0.1744943454483149,0.0,-9.927478317994231e-17
18,2022,CROWNE PLAZA,NonResidential,1113 6TH AVE,98101,47.60809,-122.33212,DOWNTOWN,1980,33,1,353111,81.0,73.90000153,148.1999969,Hotel,0.0,Compliant,No Issue,11912138.0,9934500.0,1.94,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.43062030210061353,0.3334769246704994,-0.07126984701733581,0.9742267794803363,0.3945442117759684,0.8871644688524654
19,2022,HOTEL VINTAGE PARK,NonResidential,1100 5TH AVE,98101,47.60755,-122.33244,DOWNTOWN,1922,11,1,92190,,52.83051646693396,114.97467933940187,Other,0.0,Not Compliant,Portfolio Manager Not Connected to the City of Seattle,3589417.256894049,0.0,1.1289082462253193,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.45221454920496e-16,0.0,-0.07126984701733581,-0.1744943454483149,0.0,-9.927478317994231e-17
21,2022,CENTRAL - SEATTLE PUBLIC LIBRARY,Nonresidential COS,1000 4TH AVE,98104,47.60649,-122.33297,DOWNTOWN,2004,11,1,412000,,38.0,104.0,Other,559218.0,Compliant,No Issue,13348887.0,0.0,0.27,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.30310762043701744,-0.110151010857117,0.05800952577759964,-0.1744943454483149,-0.41780387412123443,1.0403154278721034
22,2022,DOWNTOWN SEATTLE YMCA,NonResidential,909 4TH AVE,98104,47.60546,-122.33279,DOWNTOWN,1930,6,1,103911,,52.83051646693396,114.97467933940187,Other,3322721.0,Not Compliant,"Missing EUI, Incomplete Natural Gas Data",4391019.0,0.0,2.75,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.45221454920496e-16,0.0,0.6968729646456663,-0.1744943454483149,0.7885573552350907,0.08544712800112601
23,2022,RENAISSANCE MADISON HOTEL,NonResidential,515 MADISON ST,98104,47.60681,-122.33078,DOWNTOWN,1983,28,1,460902,60.0,79.30000305,170.6000061,Hotel,0.0,Compliant,No Issue,18750028.0,11067950.0,1.76,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5409860883989422,0.5583020498775921,-0.07126984701733581,1.1052870199605196,0.306985735451719,1.6160526818742198
24,2022,RAINIER CLUB (HISTORICAL LANDMARK),NonResidential,810 4TH AVE,98104,47.60515,-122.33159,DOWNTOWN,1907,5,1,57452,,115.0999985,217.0,Mixed Use Property,1682129.0,Compliant,No Issue,3009846.0,1919610.0,4.35,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.2726700763908263,1.024010985308558,0.3176027967104626,0.047469171449796566,1.5668549225617519,-0.06177968024584719
26,2022,KING COUNTY COURTHOUSE,NonResidential,516 3RD AVE,98104,47.60265,-122.33051,DOWNTOWN,1916,10,1,540360,61.0,95.40000153,170.3000031,Other,0.0,Compliant,No Issue,21527137.0,29713550.0,3.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8700395127481811,0.5552909702197542,-0.07126984701733581,3.2612681571057873,0.9442168687004229,1.9120799675393347
27,2022,KING COUNTY CORRECTIONAL FACILITY,NonResidential,500 5TH AVE,98104,47.60378,-122.32842,DOWNTOWN,1985,19,1,385274,,143.6000061,230.1000061,Other,0.0,Compliant,No Issue,15378201.0,33334509.0,4.75,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.855156162113695,1.1554935434338547,-0.07126984701733581,3.6799577837402957,1.7614293143934174,1.2566311415089166
28,2022,GRAHAM HILL ELEMENTARY SCHOOL (SPS-DISTRICT),SPS-District K-12,5101 S GRAHAM ST,98118,47.54576,-122.26853,SOUTHEAST,1961,2,1,56228,85.0,36.29999924,65.40000153,K-12 School,0.0,Compliant,No Issue,871526.0,1148610.0,1.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.3378524107653647,-0.49757270392549935,-0.07126984701733581,-0.04168116196607642,0.005395428112637658,-0.2897149415133841
29,2022,WATERTOWN HOTEL,NonResidential,4242 ROOSEVELT WAY NE,98105,47.65958,-122.31738,NORTHEAST,2001,6,1,88592,96.0,49.90000153,109.4000015,Hotel,0.0,Compliant,No Issue,2207532.0,1176670.0,1.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.059894165598996754,-0.05595210394970424,-0.07126984701733581,-0.03843659859947539,0.04431030647897076,-0.1473027316172989
30,2022,CORNISH (Main Campus Center),NonResidential,1000 LENORA ST,98121,47.61816,-122.33629,DOWNTOWN,1928,7,1,126593,,66.5,120.5,College/University,0.0,Compliant,No Issue,3620040.0,4691310.0,2.08,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2793783099562698,0.0554567142467205,-0.07126984701733581,0.36795941675300686,0.4626452489170513,0.0032642462075757822
32,2022,HOMEWOOD SUITES -SEATTLE - Hilton,NonResidential,1011 PIKE ST,98101,47.61301,-122.32929,EAST,1991,8,1,158676,,52.83051646693396,114.97467933940187,Hotel,0.0,Not Compliant,Missing EUI or Utility Data,3589417.256894049,0.0,1.1289082462253193,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.45221454920496e-16,0.0,-0.07126984701733581,-0.1744943454483149,0.0,-9.927478317994231e-17
33,2022,SPRINGHILL SUITES SEATTLE DOWNTOWN,NonResidential,1800 YALE AVE,98101,47.61784,-122.32966,DOWNTOWN,2001,10,1,171866,,52.83051646693396,114.97467933940187,Hotel,0.0,Not Compliant,"Missing EUI, Incomplete Natural Gas Data",4975682.0,0.0,0.14,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.45221454920496e-16,0.0,-0.07126984701733581,-0.1744943454483149,-0.48104055146652563,0.14776956508185385
34,2022,MEANY MIDDLE SCHOOL (SPS-DISTRICT),SPS-District K-12,300 20TH AVE E,98112,47.62266,-122.30547,SHARED: CENTRAL &amp; EAST,1955,1,1,126351,40.0,55.40000153,85.09999847,K-12 School,0.0,Compliant,No Issue,1831052.0,4780620.0,2.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.05251539991549727,-0.29984714769604714,-0.07126984701733581,0.37828628611405957,0.4577808891212595,-0.1874338004760302
