OSEBuildingID,DataYear,BuildingName,BuildingType,Address,ZipCode,Latitude,Longitude,Neighborhood,YearBuilt,NumberofFloors,NumberofBuildings,PropertyGFATotal,ENERGYSTARScore,SiteEUI(kBtu/sf),SourceEUI(kBtu/sf),EPAPropertyType,SteamUse(kBtu),ComplianceStatus,ComplianceIssue,Electricity(kBtu),NaturalGas(kBtu),GHGEmissionsIntensity,GHGIntensityCluster
24,2022,RAINIER CLUB (HISTORICAL LANDMARK),NonResidential,810 4TH AVE,98104,47.60515,-122.33159,DOWNTOWN,1907,5,1,57452,,115.0999985,217.0,Mixed Use Property,1682129.0,Compliant,No Issue,3009846.0,1919610.0,4.35,3
26,2022,KING COUNTY COURTHOUSE,NonResidential,516 3RD AVE,98104,47.60265,-122.33051,DOWNTOWN,1916,10,1,540360,61.0,95.40000153,170.3000031,Courthouse,0.0,Compliant,No Issue,21527137.0,29713550.0,3.07,3
27,2022,KING COUNTY CORRECTIONAL FACILITY,NonResidential,500 5TH AVE,98104,47.60378,-122.32842,DOWNTOWN,1985,19,1,385274,,143.6000061,230.1000061,Prison/Incarceration,0.0,Compliant,No Issue,15378201.0,33334509.0,4.75,3
28,2022,GRAHAM HILL ELEMENTARY SCHOOL (SPS-DISTRICT),SPS-District K-12,5101 S GRAHAM ST,98118,47.54576,-122.26853,SOUTHEAST,1961,2,1,56228,85.0,36.29999924,65.40000153,K-12 School,0.0,Compliant,No Issue,871526.0,1148610.0,1.14,2
29,2022,WATERTOWN HOTEL,NonResidential,4242 ROOSEVELT WAY NE,98105,47.65958,-122.31738,NORTHEAST,2001,6,1,88592,96.0,49.90000153,109.4000015,Hotel,0.0,Compliant,No Issue,2207532.0,1176670.0,1.22,2
30,2022,CORNISH (Main Campus Center),NonResidential,1000 LENORA ST,98121,47.61816,-122.33629,DOWNTOWN,1928,7,1,126593,,66.5,120.5,College/University,0.0,Compliant,No Issue,3620040.0,4691310.0,2.08,3
32,2022,HOMEWOOD SUITES -SEATTLE - Hilton,NonResidential,1011 PIKE ST,98101,47.61301,-122.32929,EAST,1991,8,1,158676,,52.83051646693396,114.97467933940187,Hotel,0.0,Not Compliant,Missing EUI or Utility Data,3589417.256894049,0.0,1.1289082462253193,2
33,2022,SPRINGHILL SUITES SEATTLE DOWNTOWN,NonResidential,1800 YALE AVE,98101,47.61784,-122.32966,DOWNTOWN,2001,10,1,171866,,52.83051646693396,114.97467933940187,Hotel,0.0,Not Compliant,"Missing EUI, Incomplete Natural Gas Data",4975682.0,0.0,0.14,0
34,2022,MEANY MIDDLE SCHOOL (SPS-DISTRICT),SPS-District K-12,300 20TH AVE E,98112,47.62266,-122.30547,SHARED: CENTRAL &amp; EAST,1955,1,1,126351,40.0,55.40000153,85.09999847,K-12 School,0.0,Compliant,No Issue,1831052.0,4780620.0,2.07,3
35,2022,HOTEL FIVE,NonResidential,2200 5TH AVE,98121,47.61558,-122.34186,DOWNTOWN,1978,5,1,68410,82.0,66.30000305,140.0,Hotel,0.0,Compliant,No Issue,2098905.0,1364740.0,1.54,3
36,2022,JANE ADDAMS MIDDLE (SPS-DISTRICT),SPS-District K-12,11031 34TH AVE NE,98125,47.70994,-122.29301,NORTH,1949,2,1,160645,55.0,51.09999847,74.80000305,K-12 School,0.0,Compliant,No Issue,2018709.0,6509490.0,2.2,3
37,2022,JOHN HAY ELEMENTARY SCHOOL (SPS-DISTRICT),SPS-District K-12,201 GARFIELD ST,98109,47.6329,-122.35172,MAGNOLIA / QUEEN ANNE,1989,2,1,51582,68.0,29.29999924,82.0,K-12 School,0.0,Compliant,No Issue,1609479.0,0.0,0.12,0
38,2022,GOOD SHEPHERD CENTER,NonResidential,4649 SUNNYSIDE AVE N,98103,47.6641,-122.33118,LAKE UNION,1906,3,1,87262,,52.83051646693396,114.97467933940187,Office,0.0,Not Compliant,"Missing EUI, Incomplete Natural Gas Data",991017.0,0.0,0.04,0
40,2022,SILVER CLOUD INN UNIVERSITY,NonResidential,5036 25TH AVE NE,98105,47.66583,-122.29965,NORTHEAST,1994,4,1,81871,84.0,64.30000305,129.3999939,Hotel,0.0,Compliant,No Issue,2897324.0,2364000.0,1.67,3
43,2022,BOEING PLANT 2 ISAL  (BLDG 2-122)-North Boeing Field Campus,Campus,1135 S WEBSTER ST,98108,47.53493,-122.31788,GREATER DUWAMISH,1992,3,1,2026324,,291.5,435.2999878,Mixed Use Property,0.0,Compliant,No Issue,146830780.0,432724300.0,11.62,3
50,2022,LAWTON ELEMENTARY SCHOOL (SPS-DISTRICT),SPS-District K-12,4017 26TH AVE W,98199,47.65671,-122.39047,MAGNOLIA / QUEEN ANNE,1990,2,1,54986,62.0,38.70000076,84.90000153,K-12 School,0.0,Compliant,No Issue,1331231.0,707020.0,0.78,1
51,2022,ECKSTEIN MIDDLE (SPS-DISTRICT),SPS-District K-12,3003 NE 75TH ST,98115,47.68252,-122.29498,NORTHEAST,1950,2,1,175565,74.0,55.5,72.09999847,K-12 School,0.0,Compliant,No Issue,1421994.0,8540680.0,2.61,3
52,2022,SALMON BAY CENTER 5305 & 5309,NonResidential,5305 SHILSHOLE AVE NW,98107,47.66587,-122.38476,BALLARD,1961,2,1,94900,0.0,0.0,0.0,Office,0.0,Not Compliant,"Missing EUI, Incomplete Natural Gas Data",3714307.0,0.0,0.15,0
53,2022,EL CENTRO DE LA RAZA,NonResidential,2524 16TH AVE S,98144,47.58034,-122.31132,GREATER DUWAMISH,1900,2,1,52554,82.0,44.70000076,70.09999847,Office,0.0,Compliant,No Issue,779659.0,1849590.0,1.93,3
54,2022,BLANCHET HIGH SCHOOL,NonResidential,8200 WALLINGFORD AVE N,98103,47.68891,-122.33553,NORTHWEST,1954,3,1,175015,68.0,53.20000076,83.30000305,K-12 School,0.0,Compliant,No Issue,2978504.0,7135620.0,2.23,3
55,2022,VINE ST MINI STORAGE,NonResidential,11 VINE ST,98121,47.61351,-122.35129,DOWNTOWN,1911,3,1,70586,,52.83051646693396,114.97467933940187,Other,0.0,Not Compliant,Portfolio Manager Not Connected to the City of Seattle,3589417.256894049,0.0,1.1289082462253193,2
56,2022,HILTON SEATTLE,NonResidential,1301 6TH AVE,98101,47.60946,-122.33337,DOWNTOWN,1969,24,1,332210,89.0,37.59999847,84.5,Hotel,0.0,Compliant,No Issue,8544890.0,3959230.0,1.93,3
57,2022,5TH & PINE,NonResidential,1513 5TH AVE,98101,47.6113,-122.33659,DOWNTOWN,1973,5,1,88717,79.0,30.29999924,84.90000153,Office,0.0,Compliant,No Issue,5139502.0,0.0,0.22,0
58,2022,CENTURY SQUARE RETAIL,NonResidential,1525 4TH AVE,98101,47.61076,-122.33765,DOWNTOWN,1920,2,1,57428,,21.39999962,60.0,Other - Mall,0.0,Compliant,No Issue,1229891.0,0.0,0.08,0
59,2022,GIBRALTAR TOWER,NonResidential,1518 3RD AVE,98101,47.61048,-122.33794,DOWNTOWN,1910,8,1,59400,,33.5,93.80000305,Office,0.0,Compliant,No Issue,1841722.0,0.0,0.12,0
60,2022,MANN BUILDING/WILD GINGER/TRIPLE DOOR,NonResidential,1401 3RD AVE,98101,47.60886,-122.33744,DOWNTOWN,1926,2,1,64597,,161.8999939,246.6999969,Mixed Use Property,0.0,Compliant,No Issue,2832352.0,7626450.0,6.44,3
61,2022,PALIHOTEL,NonResidential,107 PINE ST,98101,47.60973,-122.34038,DOWNTOWN,1900,4,1,50510,,52.83051646693396,114.97467933940187,Hotel,0.0,Not Compliant,Missing EUI or Utility Data,3589417.256894049,0.0,1.1289082462253193,2
62,2022,HOTEL THEODORE (ROOSEVELT),NonResidential,1531 7TH AVE,98101,47.61233,-122.33432,DOWNTOWN,1930,20,1,98634,63.0,84.09999847,168.6000061,Hotel,2396936.0,Compliant,No Issue,3951628.0,1275390.0,3.13,3
63,2022,SHERATON GRAND SEATTLE - (Parent Building),Campus,1400 6TH AVE,98101,47.61087,-122.33339,DOWNTOWN,1982,34,2,1083197,78.0,74.59999847,152.1999969,Hotel,10978591.0,Compliant,No Issue,41017733.0,22168741.0,2.4,3
65,2022,INN AT THE MARKET,NonResidential,86 PINE ST,98101,47.60997,-122.34138,DOWNTOWN,1985,7,1,71150,77.0,78.40000153,160.1999969,Hotel,0.0,Compliant,No Issue,2555424.0,1945760.0,1.97,3
66,2022,MOORE HOTEL & THEATRE,NonResidential,1926 2ND AVE,98101,47.61155,-122.34114,DOWNTOWN,1908,7,1,122810,100.0,46.09999847,61.59999847,Hotel,0.0,Compliant,No Issue,927887.0,4734540.0,2.08,3
68,2022,HOLIDAY INN - SEATTLE,NonResidential,211 DEXTER AVE N,98109,47.62001,-122.34274,LAKE UNION,2000,7,1,150453,96.0,55.79999924,112.8000031,Hotel,0.0,Compliant,No Issue,3588417.0,2863480.0,1.43,2
69,2022,FAIRFIELD INN,NonResidential,226 7TH AVE N,98109,47.62025,-122.34314,LAKE UNION,1997,6,1,116300,99.0,45.09999847,93.40000153,Hotel,0.0,Compliant,No Issue,2328612.0,1658510.0,1.1,2
70,2022,HOMEWOOD SUITES HOTEL - SEATTLE,NonResidential,206 WESTERN AVE W,98119,47.62023,-122.35951,MAGNOLIA / QUEEN ANNE,1998,6,1,155602,5.0,92.0,219.6999969,Hotel,0.0,Compliant,No Issue,8364777.0,2566970.0,1.42,2
73,2022,SEATTLE HEBREW ACADEMY,NonResidential,1617 INTERLAKEN DR E,98112,47.63442,-122.30793,EAST,1911,3,1,56072,62.0,58.70000076,77.40000153,K-12 School,0.0,Compliant,No Issue,602696.0,3333970.0,3.2,3
77,2022,FOUR POINTS SHERATON SEATTLE CENTER,NonResidential,601 ROY ST,98109,47.62519,-122.34456,MAGNOLIA / QUEEN ANNE,1999,4,1,122942,100.0,33.40000153,78.40000153,Hotel,0.0,Compliant,No Issue,1933169.0,1638720.0,1.21,2
82,2022,WA DEPT OF SOCIAL & HEALTH SERVICES (DSHS),NonResidential,1700 E CHERRY ST,98122,47.60823,-122.30956,CENTRAL,1962,2,1,54984,69.0,62.5,116.4000015,Office,0.0,Compliant,No Issue,1715328.0,1988350.0,2.04,3
84,2022,PROVIDENCE MT ST VINCENT,NonResidential,4831 35TH AVE SW,98126,47.55837,-122.37751,SOUTHWEST,1922,5,1,371257,47.0,149.3999939,218.6999969,Other,0.0,Compliant,No Issue,10459520.0,33823369.0,6.2,3
85,2022,FOSS HOME AND VILLAGE,NonResidential,13023 GREENWOOD AVE N,98133,47.72426,-122.35599,NORTHWEST,1970,2,1,93397,,52.83051646693396,114.97467933940187,Other,0.0,Not Compliant,"Missing EUI, Incomplete Natural Gas Data",4940269.0,0.0,0.2,0
86,2022,SCCA - ALLIANCE HOUSE,NonResidential,207 PONTIUS AVE N,98109,47.61988,-122.33211,LAKE UNION,2008,6,1,84103,83.0,59.5,148.8999939,Hotel,0.0,Compliant,No Issue,3130308.0,641440.0,0.73,1
87,2022,ARBOR HEIGHTS ELEMENTARY SCHOOL (SPS-DISTRICT),SPS-District K-12,3701 SW 104TH ST,98146,47.5097,-122.37759,SOUTHWEST,2016,3,1,78972,89.0,36.40000153,53.5,K-12 School,0.0,Compliant,No Issue,1262969.0,2014910.0,1.42,2
89,2022,POLYCLINIC MEDICAL OFFICE (NORTH & SOUTH),NonResidential,1200 HARVARD AVE,98122,47.61244,-122.3214,EAST,1965,3,2,329489,,52.83051646693396,114.97467933940187,Parking,0.0,Not Compliant,"Missing EUI, Incomplete Natural Gas Data",7888831.0,0.0,0.17,0
95,2022,SORRENTO HOTEL,NonResidential,900 MADISON ST,98104,47.60898,-122.32693,EAST,1908,7,1,76631,,52.83051646693396,114.97467933940187,Hotel,0.0,Not Compliant,"Missing EUI, Incomplete Natural Gas Data",2093831.0,0.0,0.1,0
96,2022,BLOODWORKS NW CENTRAL SEATTLE,NonResidential,921 TERRY AVE,98104,47.60845,-122.32637,EAST,1983,6,1,121099,27.0,144.1999969,314.6000061,Medical Office,5400167.0,Compliant,No Issue,8555440.0,0.0,4.86,3
100,2022,CITY PLACE III (Obidos/Rufus),NonResidential,551 BOREN AVE N,98109,47.62424,-122.33646,LAKE UNION,2010,5,2,438093,86.0,50.29999924,137.1000061,Office,0.0,Compliant,No Issue,13840884.0,612160.0,0.3,0
102,2022,MARRIOTT RESIDENCE INN,NonResidential,800 FAIRVIEW AVE N,98109,47.62642,-122.33325,LAKE UNION,1990,7,1,282863,81.0,72.30000305,135.6000061,Hotel,0.0,Compliant,No Issue,8135801.0,9095210.0,2.16,3
103,2022,CLIMATE PLEDGE ARENA,NonResidential,305 HARRISON ST,98109,47.62141,-122.35086,MAGNOLIA / QUEEN ANNE,1962,1,1,389000,,120.1999969,336.5,Indoor Arena,0.0,Compliant,No Issue,112021590.0,0.0,1.1,2
104,2022,BAGLEY WRIGHT THEATER - SEATTLE CENTER,Nonresidential COS,305 HARRISON ST,98109,47.62141,-122.35086,MAGNOLIA / QUEEN ANNE,1962,1,1,65127,,94.59999847,199.6999969,Other,2654930.0,Compliant,No Issue,3494963.0,0.0,3.51,3
106,2022,ARMORY - SEATTLE CENTER,Nonresidential COS,305 HARRISON ST,98109,47.62141,-122.35086,MAGNOLIA / QUEEN ANNE,1938,5,1,396085,,26.70000076,66.90000153,Other,1380210.0,Compliant,No Issue,6057504.0,0.0,0.34,0
107,2022,CITY PLACE IV (Ruby/Dawson),NonResidential,301 BOREN AVE N,98109,47.62112,-122.33629,LAKE UNION,2010,12,1,571329,90.0,62.29999924,164.1000061,Office,0.0,Compliant,No Issue,32219714.0,3352870.0,0.53,0
110,2022,EXHIBITION HALL - SEATTLE CENTER,Nonresidential COS,301 MERCER ST,98109,47.62395,-122.35143,MAGNOLIA / QUEEN ANNE,1962,2,1,52000,,50.20000076,92.90000153,Social/Meeting Hall,1615860.0,Compliant,No Issue,1124332.0,0.0,2.6,3
112,2022,MCCAW HALL - SEATTLE CENTER,Nonresidential COS,225 MERCER ST,98109,47.62395,-122.35143,MAGNOLIA / QUEEN ANNE,1928,2,1,262048,,63.70000076,140.3999939,Performing Arts,6324280.0,Compliant,No Issue,11897402.0,511680.0,2.23,3
113,2022,KCTS 9,NonResidential,401 MERCER ST,98109,47.62391,-122.34837,MAGNOLIA / QUEEN ANNE,1986,2,1,66240,,56.5,158.3000031,Other,0.0,Compliant,No Issue,3145573.0,0.0,0.19,0
114,2022,BILL & MELINDA GATES FOUNDATION,NonResidential,500 5TH AVE N,98109,47.62419,-122.34443,MAGNOLIA / QUEEN ANNE,2010,6,1,920598,76.0,64.59999847,132.3999939,Office,0.0,Compliant,No Issue,27116553.0,20409300.0,1.93,3
115,2022,SCRIPPS BUILDING - 221 FIRST AVENUE WEST,NonResidential,221 1ST AVE W,98119,47.62053,-122.35842,MAGNOLIA / QUEEN ANNE,1970,4,1,76213,68.0,63.29999924,144.6000061,Office,0.0,Compliant,No Issue,2274452.0,949850.0,1.18,2
116,2022,THE MEDITERRANEAN INN,NonResidential,425 QUEEN ANNE AVE N,98109,47.62291,-122.35708,MAGNOLIA / QUEEN ANNE,2002,6,1,127200,79.0,60.09999847,114.1999969,Hotel,0.0,Compliant,No Issue,2381774.0,2520850.0,1.75,3
117,2022,UNIVERSITY INN,NonResidential,4140 ROOSEVELT WAY NE,98105,47.65772,-122.31756,NORTHEAST,1962,4,2,71403,92.0,30.5,85.30000305,Hotel,0.0,Compliant,No Issue,1856521.0,1665240.0,1.57,3
118,2022,PATHFINDER/COOPER SCHOOL (SPS-DISTRICT),SPS-District K-12,1901 SW GENESEE ST,98106,47.56274,-122.35788,DELRIDGE NEIGHBORHOODS,1999,3,1,75364,81.0,27.39999962,71.30000305,K-12 School,0.0,Compliant,No Issue,1754235.0,219370.0,0.24,0
119,2022,ST JOSEPH K-8 SCHOOL,NonResidential,700 18TH AVE E,98112,47.62548,-122.30828,EAST,1923,3,1,67743,29.0,52.20000076,90.69999695,K-12 School,0.0,Compliant,No Issue,1390438.0,2145610.0,1.76,3
120,2022,HOLY NAMES ACADEMY,NonResidential,728 21ST AVE E,98112,47.62644,-122.30429,EAST,1908,6,1,168239,92.0,47.09999847,77.5,K-12 School,0.0,Compliant,No Issue,2588698.0,5015130.0,1.71,3
121,2022,THE 2100 BUILDING,NonResidential,2100 24TH AVE S,98144,47.58408,-122.30125,SOUTHEAST,2003,3,1,99433,22.0,77.19999695,216.1999969,Office,0.0,Compliant,No Issue,4917299.0,0.0,0.3,0
122,2022,MUIR ELEMENTARY SCHOOL(SPS-DISTRICT),SPS-District K-12,3301 S HORTON ST,98144,47.57324,-122.29058,SOUTHEAST,1991,2,1,60725,51.0,34.59999847,96.80000305,K-12 School,0.0,Compliant,No Issue,2025669.0,0.0,0.13,0
125,2022,MERCER MIDDLE (SPS-DISTRICT),SPS-District K-12,1600 S COLUMBIAN WAY,98108,47.56413,-122.31208,GREATER DUWAMISH,1957,1,1,130862,45.0,59.29999924,92.40000153,K-12 School,0.0,Compliant,No Issue,2461214.0,6018780.0,2.51,3
127,2022,ORCA AT WHITWORTH ELEMENTARY SCHOOL (SPS-DISTRICT),SPS-District K-12,5215 46TH AVE S,98118,47.55478,-122.27596,SOUTHEAST,1989,3,1,59955,51.0,34.79999924,90.80000305,K-12 School,0.0,Compliant,No Issue,1900758.0,232310.0,0.33,0
130,2022,MCCLURE MIDDLE (SPS-DISTRICT),SPS-District K-12,1915 1ST AVE W,98119,47.63683,-122.35896,MAGNOLIA / QUEEN ANNE,1964,2,1,93218,52.0,51.29999924,80.5,K-12 School,0.0,Compliant,No Issue,1436212.0,3400620.0,2.0,3
131,2022,CENTURYLINK: LAKEVIEW MAIN,NonResidential,1208 NE 64TH ST,98115,47.67524,-122.31534,NORTHEAST,1941,4,1,56521,,115.1999969,322.5,Other,0.0,Compliant,No Issue,5079240.0,0.0,0.34,0
132,2022,ROOSEVELT SQUARE,NonResidential,6417 ROOSEVELT WAY NE,98115,47.67559,-122.31769,NORTHEAST,1929,2,1,228385,98.0,106.3000031,267.2999878,Strip Mall,0.0,Compliant,No Issue,13329732.0,2600790.0,1.47,3
136,2022,KING COUNTY- MARY PILGRIM HOUSING,NonResidential,14115 AURORA AVE N,98133,47.73141,-122.3458,NORTHWEST,2001,4,1,51390,91.0,38.40000153,87.19999695,Multifamily Housing,0.0,Compliant,No Issue,1431786.0,627440.0,0.76,1
137,2022,BROADVIEW THOMSON K-8 (SPS-DISTRICT),SPS-District K-12,13052 GREENWOOD AVE N,98133,47.72463,-122.35315,NORTHWEST,1963,2,1,131013,95.0,24.70000076,49.90000153,K-12 School,0.0,Compliant,No Issue,1819819.0,1458390.0,0.64,1
138,2022,INGRAHAM HIGH (SPS-DISTRICT),SPS-District K-12,1819 N 135TH ST,98133,47.7257,-122.33684,NORTHWEST,1959,1,1,245587,80.0,52.90000153,80.19999695,K-12 School,0.0,Compliant,No Issue,3797423.0,10450950.0,2.32,3
139,2022,KING COUNTY- NORTHGATE HOUSING,NonResidential,13300 STONE AVE N,98133,47.72529,-122.34115,NORTHWEST,2002,3,1,69138,98.0,30.29999924,74.09999847,Multifamily Housing,0.0,Compliant,No Issue,1669261.0,427930.0,0.42,0
140,2022,B F DAY ELEMENTARY (SPS-DISTRICT),SPS-District K-12,3921 LINDEN AVE N,98103,47.65464,-122.34912,LAKE UNION,1991,3,1,66588,36.0,42.29999924,118.5999985,K-12 School,0.0,Compliant,No Issue,2760630.0,0.0,0.16,0
141,2022,HUGHES ELEMENTARY SCHOOL (SPS-DISTRICT),SPS-District K-12,7740 34TH AVE SW,98126,47.53284,-122.37493,DELRIDGE NEIGHBORHOODS,1926,3,0,44324,,36.79999924,73.0,K-12 School,0.0,Compliant,No Issue,997965.0,868710.0,1.13,2
142,2022,SEATTLE PACIFIC UNIVERSITY - Royal Brougham Pavilion,NonResidential,3414 3RD AVE W,98119,47.65115,-122.36037,MAGNOLIA / QUEEN ANNE,1927,2,0,82746,,111.8000031,195.8000031,College/University,0.0,Compliant,No Issue,3705732.0,5549120.0,3.73,3
144,2022,ALEXIS HOTEL,NonResidential,1007 1ST AVE,98104,47.6048,-122.3368,DOWNTOWN,1904,5,2,182237,100.0,23.29999924,59.09999847,Hotel,0.0,Compliant,No Issue,3778476.0,667350.0,0.3,0
145,2022,BENAROYA HALL,Nonresidential COS,1301 3RD AVE,98101,47.60804,-122.3367,DOWNTOWN,1998,6,1,174000,,71.0,155.3000031,Performing Arts,4795586.0,Compliant,No Issue,8022833.0,172680.0,2.46,3
147,2022,SWEDISH MEDICAL CENTER BALLARD - CAMPUS,Campus,5300 TALLMAN AVE NW,98107,47.66737,-122.37956,BALLARD,1954,5,2,451526,34.0,209.1999969,407.6000061,Hospital (General Medical & Surgical),0.0,Compliant,No Issue,32492384.0,30836881.0,5.82,3
148,2022,WEST WOODLAND PARK ELEMENTARY (SPS-DISTRICT),SPS-District K-12,5601 5TH AVE NW,98107,47.6706,-122.36225,SHARED: BALLARD &amp; NORTHWEST,1991,2,1,55513,66.0,26.70000076,74.59999847,K-12 School,0.0,Compliant,No Issue,2113755.0,0.0,0.15,0
163,2022,FIRE STATION 10/FAC/EOC,Nonresidential COS,400 S WASHINGTON ST,98104,47.60102,-122.32873,DOWNTOWN,2006,4,1,61156,,145.8999939,339.7999878,Fire Station,0.0,Compliant,No Issue,6179494.0,2279690.0,2.37,3
167,2022,WING LUKE MUSEUM/KONG YICK BLDG.,NonResidential,719 S KING ST,98104,47.59809,-122.32283,DOWNTOWN,1910,4,1,72820,,28.20000076,59.90000153,Museum,0.0,Compliant,No Issue,972914.0,611930.0,0.61,1
168,2022,HAMPTON INN & SUITES,NonResidential,700 5TH AVE N,98109,47.62614,-122.3467,MAGNOLIA / QUEEN ANNE,1996,4,1,162222,99.0,39.70000076,92.30000305,Hotel,0.0,Compliant,No Issue,3288861.0,2162660.0,0.86,2
169,2022,FRANKLIN HIGH SCHOOL (SPS-DISTRICT),SPS-District K-12,3013 S MOUNT BAKER BLVD,98144,47.57589,-122.29365,SOUTHEAST,1990,4,1,289588,85.0,31.20000076,73.40000153,K-12 School,0.0,Compliant,No Issue,6174260.0,2091680.0,0.47,0
171,2022,SEATTLE CENTRAL COMMUNITY COLLEGE MASTER CAMPUS ID (Benchmarking),Campus,1500 HARVARD AVE,98122,47.61438,-122.32174,EAST,1925,3,5,122976,,76.59999847,141.3000031,College/University,17807988.0,Compliant,No Issue,25928856.0,16773691.0,19.78,3
172,2022,SOUTH SEATTLE COLLEGE - CAMPUS MASTER ID,Campus,6000 16TH AVE SW,98106,47.547,-122.35307,DELRIDGE NEIGHBORHOODS,1970,2,27,529343,,54.20000076,110.1999969,College/University,0.0,Compliant,No Issue,16132970.0,12557550.0,1.38,2
